"SHIP","SURVEY","EVENT_ID","STATION","GEAR","PARTITION","EQ_TIME","EQ_LATITUDE","EQ_LONGITUDE","HB_TIME","HB_LATITUDE","HB_LONGITUDE","HEAD_ROPE_DEPTH","NET_HEIGHT","HEAD_ROPE_TEMP","DOORSOUT","DO_LATITUDE","DO_LONGITUDE","AVG_NET_VERT_OPENING","AVG_NET_HORI_OPENING","AVG_HEAD_ROPE_DEPTH","AVG_TRAWL_WIRE_OUT","BOTTOM_DEPTH_END","BOTTOM_DEPTH_START","EVENT_TYPE","PERFORMANCE_CODE","COMMENTS"
135,202101,36,"9","CTD","Codend","09022021 00:25:32.951",60.4992,-166.9952,"",,,,,,"",,,,,,,,,51,0,""
135,202101,125,"31","Bongo/FastCat","Codend","09092021 16:07:34.063",62.9976,-165.9971,"",,,,,,"",,,,,,,21,21,11,0,""
135,202101,25,"6","3m Beam Trawl","Codend","09012021 01:27:00.790",60.5015,-169.9888,"09012021 01:32:05.598",60.5006,-169.9869,,,,"",,,,,,,50,50,3,0,""
135,202101,54,"13","CTD","Codend","09032021 16:04:32.005",61.0017,-169.9956,"",,,,,,"",,,,,,,,,51,0,""
135,202101,170,"42","3m Beam Trawl","Codend","09132021 16:18:19.835",64.0033,-166.9954,"09132021 16:23:24.643",64.0049,-166.9938,,,,"",,,,,,,32,32,3,0,""
135,202101,49,"12","CTD","Codend","09032021 00:23:55.916",61.0013,-169.0004,"",,,,,,"",,,,,,,,,51,0,""
135,202101,115,"28","CanTrawl","Codend","09082021 16:52:51.397",62.4953,-167.9574,"09082021 17:23:17.009",62.4987,-167.8848,,17.7,,"09082021 16:46:29.852",62.4942,-167.9751,17.7,42.4,,330,29,29,8,0,"net not spreading as much, may be due to current."
135,202101,70,"17","Bongo/FastCat","Codend","09042021 20:40:06.231",61.5018,-169.0037,"",,,,,,"",,,,,,,36,36,11,0,""
135,202101,113,"28","Bongo/FastCat","Codend","09082021 16:14:46.378",62.5007,-168.0007,"",,,,,,"",,,,,,,29,29,11,0,""
135,202101,180,"45","CTD","Codend","09142021 16:03:59.511",64.0994,-163.4984,"",,,,,,"",,,,,,,,,51,0,""
135,202101,121,"30","Bongo/FastCat","Codend","09092021 00:51:36.220",62.9994,-166.9956,"",,,,,,"",,,,,,,25,25,11,0,""
135,202101,132,"33","CTD","Codend","09102021 00:26:17.170",63.5004,-167.0027,"",,,,,,"",,,,,,,,,51,0,""
135,202101,167,"41","CanTrawl","Codend","09132021 01:24:12.658",63.996,-167.9302,"09132021 01:54:38.389",63.9993,-167.8503,,21.87,,"",,,21.87,47.91,,330,36,36,50,0,""
135,202101,165,"41","Bongo/FastCat","Codend","09132021 00:42:59.251",63.9985,-167.9966,"",,,,,,"",,,,,,,36,36,11,0,""
135,202101,172,"43","CTD","Codend","09132021 20:16:05.224",64.0003,-166.0012,"",,,,,,"",,,,,,,,,51,0,""
135,202101,97,"24","Bongo/FastCat","Codend","09072021 01:19:33.612",61.998,-171.003,"",,,,,,"",,,,,,,49,49,11,0,""
135,202101,149,"37","Bongo/FastCat","Codend","09112021 16:13:20.786",65.4009,-168.0086,"",,,,,,"",,,,,,,38,38,11,0,""
135,202101,26,"6","CanTrawl","Codend","09012021 02:03:58.018",60.5035,-169.9368,"09012021 02:34:25.823",60.5034,-169.8643,,21.87,,"",,,21.87,48.78,,330,50,50,50,0,""
135,202101,43,"10","Bongo/FastCat","Codend","09022021 16:40:01.741",61.006,-167.0011,"",,,,,,"",,,,,,,22,22,11,0,"bad temp salinity profile"
135,202101,17,"4","CanTrawl","Codend","08312021 16:50:49.411",60.0042,-170.9748,"08312021 17:21:15.173",60.025,-170.9302,,19.29,,"",,,19.29,50.18,,330,68,68,50,0,""
135,202101,20,"5","Bongo/FastCat","Codend","08312021 20:57:17.976",60.5032,-170.997,"",,,,,,"",,,,,,,62,62,11,0,""
135,202101,201,"53","3m Beam Trawl","Codend","09152021 22:31:32.105",64.3663,-166.6519,"09152021 22:36:36.008",64.3646,-166.6498,,,,"",,,,,,,28,28,3,0,""
135,202101,12,"3","3m Beam Trawl","Codend","08212017 01:17:26.129",59.9978,-169.9669,"08212017 01:22:29.205",59.9963,-169.9689,,,,"",,,,,,,55,55,3,0,"2nd attempt at beam trawl"
135,202101,18,"5","CTD","Codend","08312021 20:39:34.703",60.5,-170.9946,"",,,,,,"",,,,,,,,,51,0,""
135,202101,193,"49","3m Beam Trawl","Codend","09152021 16:07:21.006",64.7527,-167.2543,"09152021 16:12:25.799",64.7544,-167.2569,,,,"",,,,,,,28,28,3,0,""
135,202101,168,"42","CTD","Codend","09132021 16:02:02.560",64.0004,-166.9984,"",,,,,,"",,,,,,,,,51,0,""
135,202101,72,"18","CTD","Codend","09052021 00:33:35.412",61.4995,-167.9984,"",,,,,,"",,,,,,,,,51,0,""
135,202101,6,"2","Bongo/FastCat","Codend","08202017 20:28:27.147",60.0024,-169.0018,"",,,,,,"",,,,,,,41,41,11,0,""
135,202101,86,"21","CanTrawl","Codend","09062021 01:38:53.513",61.9996,-168.0545,"09062021 02:09:19.368",62.0002,-168.1289,,20.39,,"",,,20.39,50.02,,330,28,27,50,0,""
135,202101,177,"44","Bongo/FastCat","Codend","09142021 01:48:27.875",64.0998,-164.4936,"",,,,,,"",,,,,,,19,19,11,0,""
135,202101,151,"37","CanTrawl","Codend","09112021 17:06:56.094",65.389,-167.9904,"09112021 17:37:21.856",65.3732,-167.951,,23.58,,"",,,23.58,49.22,,330,38,38,50,0,""
135,202101,31,"8","CTD","Codend","09012021 20:17:53.075",60.4995,-168.0016,"",,,,,,"",,,,,,,,,51,0,""
135,202101,200,"53","CTD","Codend","09152021 22:24:54.580",64.3679,-166.653,"",,,,,,"",,,,,,,,,51,0,""
135,202101,75,"18","CanTrawl","Codend","09052021 01:20:27.494",61.5022,-167.9813,"09052021 01:50:53.303",61.5039,-167.9092,,19.62,,"",,,19.62,51.76,,330,28,28,50,0,""
135,202101,159,"39","CanTrawl","Codend","09122021 16:49:57.952",64.503,-167.0381,"09122021 17:20:23.695",64.5025,-167.1279,,21.5,,"",,,21.5,50.57,,330,27,27,50,0,""
135,202101,5,"2","Benthic Grab","Codend","08202017 20:21:41.323",60.0028,-169.0036,"",,,,,,"",,,,,,,41,41,56,0,""
135,202101,118,"29","3m Beam Trawl","Codend","09082021 20:33:40.222",62.4934,-166.9938,"09082021 20:38:44.921",62.4919,-166.9934,,,,"",,,,,,,33,33,3,0,""
135,202101,148,"37","CTD","Codend","09112021 16:04:01.087",65.4008,-168.0023,"",,,,,,"",,,,,,,,,51,0,""
135,202101,11,"3","3m Beam Trawl","Codend","08212017 00:54:32.968",59.9998,-169.9779,"08212017 00:59:39.149",59.9996,-169.9727,,,,"",,,,,,,55,55,3,0,""
135,202101,186,"46","Bongo/FastCat","Codend","09142021 20:39:15.890",64.1018,-162.4991,"",,,,,,"",,,,,,,20,20,11,0,""
135,202101,77,"19","Bongo/FastCat","Codend","09052021 16:17:02.759",61.4983,-166.9996,"",,,,,,"",,,,,,,21,21,11,0,"depth is too shallow, CTD profile is not accurate"
